entity_name,year,population
Northern Mariana Islands,2019,48154
Northern Mariana Islands,2020,47557
Northern Mariana Islands,2021,47003
Northern Mariana Islands,2022,46101
Northern Mariana Islands,2023,45165
Northern Mariana Islands,2024,44299
Norway,2017,5276806
Norway,2018,5311751
Norway,2019,5347735
Norway,2020,5379274
Norway,2021,5408081
Norway,2022,5456795
Norway,2023,5519166
Norway,2024,5576655
Oceania (UN),2017,42093650
Oceania (UN),2018,42815158
Oceania (UN),2019,43504185
Oceania (UN),2020,44078974
Oceania (UN),2021,44558212
Oceania (UN),2022,45049350
Oceania (UN),2023,45562792
Oceania (UN),2024,46088714
Oman,2017,4537397
Oman,2018,4597879
Oman,2019,4591247
Oman,2020,4522503
Oman,2021,4500427
Oman,2022,4730227
Oman,2023,5049268
Oman,2024,5281542
Pakistan,2017,223273975
Pakistan,2018,226928893
Pakistan,2019,230800909
Pakistan,2020,235001743
Pakistan,2021,239477805
Pakistan,2022,243700667
Pakistan,2023,247504504
Pakistan,2024,251269158
Palau,2017,17837
Palau,2018,17842
Palau,2019,17820
Palau,2020,17817
Palau,2021,17809
Palau,2022,17784
Palau,2023,17750
Palau,2024,17719
Palestine,2017,4742747
Palestine,2018,4850593
Palestine,2019,4957774
Palestine,2020,5069691
Palestine,2021,5185341
Palestine,2022,5305274
Palestine,2023,5409201
Palestine,2024,5495445
Panama,2017,4098705
Panama,2018,4167859
Panama,2019,4234699
Panama,2020,4293258
Panama,2021,4345410
Panama,2022,4400772
Panama,2023,4458759
Panama,2024,4515575
Papua New Guinea,2017,9178716
Papua New Guinea,2018,9394519
Papua New Guinea,2019,9609014
Papua New Guinea,2020,9815741
Papua New Guinea,2021,10012899
Papua New Guinea,2022,10203176
Papua New Guinea,2023,10389638
Papua New Guinea,2024,10576508
Paraguay,2017,6338656
Paraguay,2018,6427383
Paraguay,2019,6515060
Paraguay,2020,6603742
Paraguay,2021,6684184
Paraguay,2022,6760461
Paraguay,2023,6844152
Paraguay,2024,6929152
Peru,2017,31324638
Peru,2018,31897590
Peru,2019,32449301
Peru,2020,32838576
Peru,2021,33155883
Peru,2022,33475435
Peru,2023,33845617
Peru,2024,34217850
Philippines,2017,108119693
Philippines,2018,109465284
Philippines,2019,110804685
Philippines,2020,112081271
Philippines,2021,113100946
Philippines,2022,113964342
Philippines,2023,114891200
Philippines,2024,115843663
Poland,2017,38254964
Poland,2018,38241070
Poland,2019,38225884
Poland,2020,38171005
Poland,2021,38040304
Poland,2022,38385734
Poland,2023,38762847
Poland,2024,38539208
Portugal,2017,10330836
Portugal,2018,10325353
Portugal,2019,10343218
Portugal,2020,10370519
Portugal,2021,10390956
Portugal,2022,10417075
Portugal,2023,10430735
Portugal,2024,10425291
Puerto Rico,2017,3371879
Puerto Rico,2018,3290068
Puerto Rico,2019,3288026
Puerto Rico,2020,3275801
Puerto Rico,2021,3253210
Puerto Rico,2022,3240971
Puerto Rico,2023,3242023
Puerto Rico,2024,3242212
Qatar,2017,2706715
Qatar,2018,2761145
Qatar,2019,2797927
Qatar,2020,2803373
Qatar,2021,2814989
Qatar,2022,2892465
Qatar,2023,2979087
Qatar,2024,3048428
Reunion,2017,858761
Reunion,2018,856946
Reunion,2019,857327
Reunion,2020,861452
Reunion,2021,868084
Reunion,2022,871542
Reunion,2023,874883
Reunion,2024,878595
Romania,2017,19689406
Romania,2018,19597874
Romania,2019,19501543
Romania,2020,19392469
Romania,2021,19248159
Romania,2022,19166776
Romania,2023,19118481
Romania,2024,19015096
Russia,2017,146186800
Russia,2018,146430147
Russia,2019,146533063
Russia,2020,146371293
Russia,2021,145836172
Russia,2022,145579890
Russia,2023,145440504
Russia,2024,144820423
Rwanda,2017,12202062
Rwanda,2018,12487999
Rwanda,2019,12776104
Rwanda,2020,13065839
Rwanda,2021,13355260
Rwanda,2022,13651026
Rwanda,2023,13954474
Rwanda,2024,14256573
Saint Barthelemy,2017,9954
Saint Barthelemy,2018,10135
Saint Barthelemy,2019,10325
Saint Barthelemy,2020,10566
Saint Barthelemy,2021,10790
Saint Barthelemy,2022,10948
Saint Barthelemy,2023,11112
Saint Barthelemy,2024,11282
Saint Helena,2017,5528
Saint Helena,2018,5507
Saint Helena,2019,5485
Saint Helena,2020,5451
Saint Helena,2021,5415
Saint Helena,2022,5369
Saint Helena,2023,5316
Saint Helena,2024,5262
Saint Kitts and Nevis,2017,47074
Saint Kitts and Nevis,2018,47032
Saint Kitts and Nevis,2019,46974
Saint Kitts and Nevis,2020,46896
Saint Kitts and Nevis,2021,46786
Saint Kitts and Nevis,2022,46731
Saint Kitts and Nevis,2023,46783
Saint Kitts and Nevis,2024,46867
Saint Lucia,2017,176352
Saint Lucia,2018,177032
Saint Lucia,2019,177674
Saint Lucia,2020,178261
Saint Lucia,2021,178540
Saint Lucia,2022,178794
Saint Lucia,2023,179293
Saint Lucia,2024,179751
Saint Martin (French part),2017,36862
Saint Martin (French part),2018,36035
Saint Martin (French part),2019,34289
Saint Martin (French part),2020,31811
Saint Martin (French part),2021,29986
Saint Martin (French part),2022,28898
Saint Martin (French part),2023,27545
Saint Martin (French part),2024,26155
Saint Pierre and Miquelon,2017,5946
Saint Pierre and Miquelon,2018,5932
Saint Pierre and Miquelon,2019,5899
Saint Pierre and Miquelon,2020,5852
Saint Pierre and Miquelon,2021,5802
Saint Pierre and Miquelon,2022,5760
Saint Pierre and Miquelon,2023,5707
Saint Pierre and Miquelon,2024,5652
Saint Vincent and the Grenadines,2017,105675
Saint Vincent and the Grenadines,2018,104938
Saint Vincent and the Grenadines,2019,104182
Saint Vincent and the Grenadines,2020,103540
Saint Vincent and the Grenadines,2021,102848
Saint Vincent and the Grenadines,2022,102062
Saint Vincent and the Grenadines,2023,101331
Saint Vincent and the Grenadines,2024,100630
Samoa,2017,205420
Samoa,2018,207595
Samoa,2019,209793
Samoa,2020,211958
Samoa,2021,213792
Samoa,2022,215269
Samoa,2023,216674
Samoa,2024,218030
San Marino,2017,34404
San Marino,2018,34557
San Marino,2019,34674
San Marino,2020,34796
San Marino,2021,34599
San Marino,2022,34113
San Marino,2023,33761
San Marino,2024,33606
Sao Tome and Principe,2017,206986
Sao Tome and Principe,2018,210198
Sao Tome and Principe,2019,213404
Sao Tome and Principe,2020,217449
Sao Tome and Principe,2021,221975
Sao Tome and Principe,2022,226313
Sao Tome and Principe,2023,230881
Sao Tome and Principe,2024,235548
Saudi Arabia,2017,30782402
Saudi Arabia,2018,30365119
Saudi Arabia,2019,30472810
Saudi Arabia,2020,30991205
Saudi Arabia,2021,31328374
Saudi Arabia,2022,32175352
Saudi Arabia,2023,33264288
Saudi Arabia,2024,33962752
Senegal,2017,15475001
Senegal,2018,15914495
Senegal,2019,16352926
Senegal,2020,16789215
Senegal,2021,17220866
Senegal,2022,17651099
Senegal,2023,18077573
Senegal,2024,18501989
Serbia,2017,7073508
Serbia,2018,7020016
Serbia,2019,6966154
Serbia,2020,6907817
Serbia,2021,6835434
Serbia,2022,6791218
Serbia,2023,6773203
Serbia,2024,6736217
Seychelles,2017,112444
Seychelles,2018,115053
Seychelles,2019,117662
Seychelles,2020,120299
Seychelles,2021,123000
Seychelles,2022,125532
Seychelles,2023,127961
Seychelles,2024,130436
Sierra Leone,2017,7379300
Sierra Leone,2018,7554566
Sierra Leone,2019,7731995
Sierra Leone,2020,7912558
Sierra Leone,2021,8094603
Sierra Leone,2022,8276808
Sierra Leone,2023,8460523
Sierra Leone,2024,8642029
Singapore,2017,5604087
Singapore,2018,5634367
Singapore,2019,5669562
Singapore,2020,5620150
Singapore,2021,5546292
Singapore,2022,5649886
Singapore,2023,5789091
Singapore,2024,5832387
Sint Maarten (Dutch part),2017,39012
Sint Maarten (Dutch part),2018,39735
Sint Maarten (Dutch part),2019,40410
Sint Maarten (Dutch part),2020,41026
Sint Maarten (Dutch part),2021,41590
Sint Maarten (Dutch part),2022,42163
Sint Maarten (Dutch part),2023,42775
Sint Maarten (Dutch part),2024,43372
Slovakia,2017,5435704
Slovakia,2018,5443230
Slovakia,2019,5450626
Slovakia,2020,5455028
Slovakia,2021,5442767
Slovakia,2022,5473194
Slovakia,2023,5518057
Slovakia,2024,5506759
Slovenia,2017,2062410
Slovenia,2018,2069484
Slovenia,2019,2083436
Slovenia,2020,2102419
Slovenia,2021,2113495
Slovenia,2022,2115230
Slovenia,2023,2118395
Slovenia,2024,2118690
Small island developing states (SIDS),2017,69394086
Small island developing states (SIDS),2018,70010846
Small island developing states (SIDS),2019,70666301
Small island developing states (SIDS),2020,71178638
Small island developing states (SIDS),2021,71632449
Small island developing states (SIDS),2022,72230333
Small island developing states (SIDS),2023,72894714
Small island developing states (SIDS),2024,73462562
Solomon Islands,2017,685674
Solomon Islands,2018,709109
Solomon Islands,2019,728156
Solomon Islands,2020,744507
Solomon Islands,2021,762594
Solomon Islands,2022,781075
Solomon Islands,2023,800013
Solomon Islands,2024,819207
Somalia,2017,14916629
Somalia,2018,15452489
Somalia,2019,16030969
Somalia,2020,16651200
Somalia,2021,17271435
Somalia,2022,17801893
Somalia,2023,18358621
Somalia,2024,19009156
South Africa,2017,57635158
South Africa,2018,58613000
South Africa,2019,59587880
South Africa,2020,60562374
South Africa,2021,61502601
South Africa,2022,62378419
South Africa,2023,63212386
South Africa,2024,64007186
South Korea,2017,51486268
South Korea,2018,51640894
South Korea,2019,51767843
South Korea,2020,51858480
South Korea,2021,51848401
South Korea,2022,51782514
South Korea,2023,51748744
South Korea,2024,51717587
South Sudan,2017,10259150
South Sudan,2018,10122983
South Sudan,2019,10423382
South Sudan,2020,10698470
South Sudan,2021,10865786
South Sudan,2022,11021175
South Sudan,2023,11483373
South Sudan,2024,11943411
Spain,2017,46868594
Spain,2018,47092817
Spain,2019,47435120
Spain,2020,47679482
Spain,2021,47735670
Spain,2022,47828386
Spain,2023,47911583
Spain,2024,47910532
Sri Lanka,2017,22087525
Sri Lanka,2018,22253113
Sri Lanka,2019,22410552
Sri Lanka,2020,22561807
Sri Lanka,2021,22700377
Sri Lanka,2022,22834964
Sri Lanka,2023,22971616
Sri Lanka,2024,23103559
Sudan,2017,42714312
Sudan,2018,44230598
Sudan,2019,45548178
Sudan,2020,46789237
Sudan,2021,48066927
Sudan,2022,49383343
Sudan,2023,50042799
Sudan,2024,50448962
Suriname,2017,593719
Suriname,2018,599517
Suriname,2019,605780
Suriname,2020,612322
Suriname,2021,617905
Suriname,2022,623173
Suriname,2023,628892
Suriname,2024,634438
Sweden,2017,10057864
Sweden,2018,10175401
Sweden,2019,10279122
Sweden,2020,10353680
Sweden,2021,10416136
Sweden,2022,10487333
Sweden,2023,10551493
Sweden,2024,10606994
Switzerland,2017,8453628
Switzerland,2018,8516339
Switzerland,2019,8577526
Switzerland,2020,8640582
Switzerland,2021,8707018
Switzerland,2022,8792180
Switzerland,2023,8870564
Switzerland,2024,8921980
Syria,2017,19224670
Syria,2018,19577850
Syria,2019,20353536
Syria,2020,21049428
Syria,2021,21628840
Syria,2022,22462170
Syria,2023,23594622
Syria,2024,24672757
Taiwan,2017,23632950
Taiwan,2018,23659308
Taiwan,2019,23674137
Taiwan,2020,23663460
Taiwan,2021,23558330
Taiwan,2022,23420107
Taiwan,2023,23317145
Taiwan,2024,23213963
Tajikistan,2017,9085943
Tajikistan,2018,9307346
Tajikistan,2019,9529971
Tajikistan,2020,9749310
Tajikistan,2021,9966912
Tajikistan,2022,10182229
Tajikistan,2023,10389808
Tajikistan,2024,10590929
Tanzania,2017,55652888
Tanzania,2018,57437134
Tanzania,2019,59174889
Tanzania,2020,60972801
Tanzania,2021,62830413
Tanzania,2022,64711821
Tanzania,2023,66617607
Tanzania,2024,68560162
Thailand,2017,71160184
Thailand,2018,71376080
Thailand,2019,71522265
Thailand,2020,71641484
Thailand,2021,71727340
Thailand,2022,71735320
Thailand,2023,71702438
Thailand,2024,71668010
Togo,2017,8057139
Togo,2018,8258781
Togo,2019,8463068
Togo,2020,8669722
Togo,2021,8878384
Togo,2022,9089742
Togo,2023,9304344
Togo,2024,9515238
Tokelau,2017,1767
Tokelau,2018,1902
Tokelau,2019,2038
Tokelau,2020,2152
Tokelau,2021,2225
Tokelau,2022,2312
Tokelau,2023,2424
Tokelau,2024,2528
Tonga,2017,105374
Tonga,2018,105589
Tonga,2019,105688
Tonga,2020,105719
Tonga,2021,105504
Tonga,2022,105053
Tonga,2023,104614
Tonga,2024,104190
Trinidad and Tobago,2017,1445265
Trinidad and Tobago,2018,1470522
Trinidad and Tobago,2019,1484898
Trinidad and Tobago,2020,1481026
Trinidad and Tobago,2021,1487715
Trinidad and Tobago,2022,1495922
Trinidad and Tobago,2023,1502936
Trinidad and Tobago,2024,1507779
Tunisia,2017,11650504
Tunisia,2018,11765515
Tunisia,2019,11875085
Tunisia,2020,11974058
Tunisia,2021,12048625
Tunisia,2022,12119336
Tunisia,2023,12200434
Tunisia,2024,12277103
Turkey,2017,83083668
Turkey,2018,84415966
Turkey,2019,85357671
Turkey,2020,86091691
Turkey,2021,86686255
Turkey,2022,87058470
Turkey,2023,87270503
Turkey,2024,87473800
Turkmenistan,2017,6507065
Turkmenistan,2018,6655523
Turkmenistan,2019,6803942
Turkmenistan,2020,6949915
Turkmenistan,2021,7092041
Turkmenistan,2022,7230198
Turkmenistan,2023,7364437
Turkmenistan,2024,7494494
Turks and Caicos Islands,2017,39928
Turks and Caicos Islands,2018,41579
Turks and Caicos Islands,2019,43190
Turks and Caicos Islands,2020,44404
Turks and Caicos Islands,2021,45260
Turks and Caicos Islands,2022,45869
Turks and Caicos Islands,2023,46219
Turks and Caicos Islands,2024,46562
Tuvalu,2017,10892
Tuvalu,2018,10775
Tuvalu,2019,10603
Tuvalu,2020,10423
Tuvalu,2021,10214
Tuvalu,2022,10012
Tuvalu,2023,9837
Tuvalu,2024,9669
Uganda,2017,40177383
Uganda,2018,41565839
Uganda,2019,42999636
Uganda,2020,44457149
Uganda,2021,45910932
Uganda,2022,47312718
Uganda,2023,48656604
Uganda,2024,50015089
Ukraine,2017,45436036
Ukraine,2018,45208903
Ukraine,2019,44957450
Ukraine,2020,44680009
Ukraine,2021,44298641
Ukraine,2022,41048767
Ukraine,2023,37732832
Ukraine,2024,37860222
United Arab Emirates,2017,9234330
United Arab Emirates,2018,9346870
United Arab Emirates,2019,9377855
United Arab Emirates,2020,9448529
United Arab Emirates,2021,9789054
United Arab Emirates,2022,10242085
United Arab Emirates,2023,10642089
United Arab Emirates,2024,11027134
United Kingdom,2017,66354474
United Kingdom,2018,66752473
United Kingdom,2019,67110958
United Kingdom,2020,67351860
United Kingdom,2021,67668789
United Kingdom,2022,68179315
United Kingdom,2023,68682965
United Kingdom,2024,69138185
United States,2017,332204656
United States,2018,335056495
United States,2019,337790068
United States,2020,339436157
United States,2021,340161441
United States,2022,341534041
United States,2023,343477332
United States,2024,345426567
United States Virgin Islands,2017,95123
United States Virgin Islands,2018,92317
United States Virgin Islands,2019,89390
United States Virgin Islands,2020,87724
United States Virgin Islands,2021,87238
United States Virgin Islands,2022,86521
United States Virgin Islands,2023,85712
United States Virgin Islands,2024,84922
Upper-middle-income countries,2017,2740416309
Upper-middle-income countries,2018,2759864864
Upper-middle-income countries,2019,2776256182
Upper-middle-income countries,2020,2789064927
Upper-middle-income countries,2021,2797561845
Upper-middle-income countries,2022,2804740306
Upper-middle-income countries,2023,2811308945
Upper-middle-income countries,2024,2816388199
Uruguay,2017,3388444
Uruguay,2018,3394539
Uruguay,2019,3397205
Uruguay,2020,3398967
Uruguay,2021,3396692
Uruguay,2022,3390913
Uruguay,2023,3388083
Uruguay,2024,3386582
Uzbekistan,2017,31819172
Uzbekistan,2018,32373490
Uzbekistan,2019,32964702
Uzbekistan,2020,33586372
Uzbekistan,2021,34243696
Uzbekistan,2022,34938955
Uzbekistan,2023,35652309
Uzbekistan,2024,36361859
Vanuatu,2017,278518
Vanuatu,2018,285273
Vanuatu,2019,291994
Vanuatu,2020,298868
Vanuatu,2021,305883
Vanuatu,2022,313062
Vanuatu,2023,320422
Vanuatu,2024,327787
Vatican,2017,563
Vatican,2018,552
Vatican,2019,543
Vatican,2020,536
Vatican,2021,527
Vatican,2022,513
Vatican,2023,501
Vatican,2024,507
Venezuela,2017,30565331
Venezuela,2018,29807592
Venezuela,2019,28938095
Venezuela,2020,28444078
Venezuela,2021,28237831
Venezuela,2022,28213016
Venezuela,2023,28300860
Venezuela,2024,28405544
Vietnam,2017,95176979
Vietnam,2018,96237319
Vietnam,2019,97173778
Vietnam,2020,98079196
Vietnam,2021,98935101
Vietnam,2022,99680656
Vietnam,2023,100352189
Vietnam,2024,100987686
Wallis and Futuna,2017,11945
Wallis and Futuna,2018,11827
Wallis and Futuna,2019,11711
Wallis and Futuna,2020,11640
Wallis and Futuna,2021,11590
Wallis and Futuna,2022,11501
Wallis and Futuna,2023,11394
Wallis and Futuna,2024,11303
Western Sahara,2017,512852
Western Sahara,2018,525789
Western Sahara,2019,538452
Western Sahara,2020,549372
Western Sahara,2021,558625
Western Sahara,2022,568746
Western Sahara,2023,579735
Western Sahara,2024,590514
World,2017,7645618013
World,2018,7729902724
World,2019,7811293714
World,2020,7887001284
World,2021,7954448405
World,2022,8021407170
World,2023,8091734935
World,2024,8161972549
Yemen,2017,33090925
Yemen,2018,34085182
Yemen,2019,35111417
Yemen,2020,36134868
Yemen,2021,37140233
Yemen,2022,38222880
Yemen,2023,39390800
Yemen,2024,40583174
Zambia,2017,17441329
Zambia,2018,17973572
Zambia,2019,18513841
Zambia,2020,19059395
Zambia,2021,19603610
Zambia,2022,20152934
Zambia,2023,20723968
Zambia,2024,21314960
Zimbabwe,2017,14812484
Zimbabwe,2018,15034457
Zimbabwe,2019,15271377
Zimbabwe,2020,15526888
Zimbabwe,2021,15797220
Zimbabwe,2022,16069061
Zimbabwe,2023,16340829
Zimbabwe,2024,16634366
